simulation_type,replication_id,fine_amount,avg_coop_propensity_all,avg_punishment_propensity,prop_group_retaliation,avg_ret_threshold_gr,prop_probabilistic,avg_coop_propensity_prob,cooperators_last_trial,is_cooperation_achieved
sim1,4,1.5,0.09435075299895561,0.06887041162660655,0.0,0.0,1.0,0.09435075299895561,18,false
sim1,5,1.5,0.10868233561243597,0.12648188867093635,0.0,0.0,1.0,0.10868233561243597,18,false
sim1,6,1.5,0.11186523490880747,0.09249528641110173,0.0,0.0,1.0,0.11186523490880747,18,false
sim1,7,1.5,0.1221751414781364,0.09171896969406833,0.0,0.0,1.0,0.1221751414781364,20,false
sim1,8,1.5,0.1150713887762319,0.08923696817469175,0.0,0.0,1.0,0.1150713887762319,19,false
sim1,9,1.5,0.1084938008405016,0.11553527626908196,0.0,0.0,1.0,0.1084938008405016,20,false
sim1,10,1.5,0.09724898649104743,0.08341229003591127,0.0,0.0,1.0,0.09724898649104743,17,false
sim1,11,1.5,0.07236223734395933,0.0658090418798111,0.0,0.0,1.0,0.07236223734395933,9,false
sim1,12,1.5,0.05349989042085016,0.05896825936863352,0.0,0.0,1.0,0.05349989042085016,18,false
sim1,13,1.5,0.07396073332600787,0.07511702651522402,0.0,0.0,1.0,0.07396073332600787,14,false
sim1,14,1.5,0.11647468218421171,0.09947592740382596,0.0,0.0,1.0,0.11647468218421171,19,false
sim1,15,1.5,0.08345275669068711,0.07158739681434238,0.0,0.0,1.0,0.08345275669068711,18,false
sim1,16,1.5,0.1011005229280713,0.0718261368321525,0.0,0.0,1.0,0.1011005229280713,12,false
sim1,17,1.5,0.05614200118636271,0.07083164032058406,0.0,0.0,1.0,0.05614200118636271,20,false
sim1,18,1.5,0.11582680109214508,0.0926112789538121,0.0,0.0,1.0,0.11582680109214508,13,false
sim1,19,1.5,0.11131379419447052,0.08702742883748683,0.0,0.0,1.0,0.11131379419447052,20,false
sim1,20,1.5,0.08562207316839246,0.09797935962405933,0.0,0.0,1.0,0.08562207316839246,10,false
sim1,21,1.5,0.12174600393059429,0.08160244854613032,0.0,0.0,1.0,0.12174600393059429,21,false
sim1,22,1.5,0.09723534054240185,0.07438628658964191,0.0,0.0,1.0,0.09723534054240185,15,false
